english,twi,type
I,me,word
you,wo,word
me,me,word
love,dɔ,word
loves,dɔ,word
hate,kyi,word
like,pɛ,word
dogs,akraman,word
dog,ɔkraman,word
good,papa,word
bad,bɔne,word
nice,fɛ,word
how,sɛn,word
are,te,word
is,ne,word
am,,word
what,dɛn,word
where,he,word
your,wo,word
my,me,word
name,din,word
going,rekɔ,word
go,kɔ,word
to,,word
at,wɔ,word
in,mu,word
on,so,word
the,,word
a,,word
an,,word
market,dwam,word
home,efie,word
school,sukuu,word
food,aduane,word
water,nsu,word
house,dan,word
person,onipa,word
people,nnipa,word
bank,sikakorabea,word
hospital,ayaresabea,word
church,asɔrefie,word
mosque,nkramoguafie,word
met,hyiaa,word
work,yɛ adwuma,word
visited,kɔsraa,word
live,te,word
lives,te,word
Accra,Nkran,word
Kumasi,Kumas,word
Ghana,Gaana,word
Tamale,Tamale,word
Cape Coast,Oguaa,word
Tema,Tɛma,word
Takoradi,Takoradi,word
Sunyani,Sunyani,word
Koforidua,Kofodua,word
Ho,Ho,word
able,tumi,word
about,fa ho,word
accepted,gyee tom,word
admire,kamfo,word
admired,kamfoo,word
adopted,gyee,word
afternoon,awia,word
again,bio,word
aggressive,basabasa,word
agree,pene so,word
agreed,penee so,word
alone,nko ara,word
always,daa,word
and,ne,word
angry,bo fuw,word
any,bi,word
anything,biribiara,word
appreciate,da ase,word
arrive,duru,word
arrived,duruu,word
ask,bisa,word
attractive,fɛ,word
available,wɔ hɔ,word
avoids,kwati,word
be,yɛ,word
beautiful,fɛfɛ,word
began,hyɛɛ ase,word
believe,gye di,word
better,papa,word
big,kɛse,word
bird,anomaa,word
birthday,awoda,word
blue,bibire,word
book,nhoma,word
books,nhoma,word
born,woo,word
both,baanu,word
boy,abarimaa,word
brave,akokɔduru,word
broke,bubuu,word
brother,onua,word
built,sii,word
busy,adwuma pii,word
buy,tɔ,word
bye,nante yie,word
came,baa,word
can,tumi,word
can't,ntumi,word
care,hwɛ,word
careful,hwɛ yie,word
change,sesa,word
cheap,nni bo,word
check,hwɛ,word
christmas,bronya,word
close,to,word
come,bra,word
comes,ba,word
coming,reba,word
complaining,nwiinwii,word
compliment,kamfo,word
congratulations,ayɛyie,word
cook,noa,word
correct,teɛ,word
could,tumi,word
crazy,abɔdamfo,word
cry,su,word
crying,resu,word
dance,sa,word
danger,asiane,word
daughter,ɔbabea,word
day,da,word
dead,awu,word
deal,nhyehyɛe,word
decision,gyinae,word
deep,tɔnn,word
desk,ɔpon,word
destination,baabi,word
did,yɛɛ,word
difficult,den,word
disagree,mpene so,word
disturb,ha,word
disturbing,reha,word
do,yɛ,word
doctor,ɔdɔkota,word
does,yɛ,word
doing,reyɛ,word
don't,nyɛ,word
done,ayɛ,word
door,ɔpono,word
doubt,nsusui,word
dreams,dae,word
drying,rewo,word
each,biara,word
early,ntɛm,word
eat,di,word
eaten,adidi,word
enjoy,gye anika,word
enjoyed,gyee anika,word
evening,anwummere,word
everyday,da biara,word
everything,biribiara,word
exam,sɔhwɛ,word
expensive,bo yɛ den,word
explanation,nkyerɛaseɛ,word
eyes,ani,word
family,abusua,word
famous,din hyetaa,word
fast,ntɛm,word
faster,ntɛm,word
father,agya,word
favorite,dɔ paa,word
feeling,nka,word
few,kakra bi,word
final,awie,word
fine,ɛyɛ,word
finish,wie,word
finished,wiee,word
fish,apataa,word
five,num,word
fly,tu,word
for,ma,word
free,ahofadi,word
friend,adamfo,word
from,fi,word
game,agoru,word
garden,turo,word
get,nya,word
girl,ababaa,word
give,ma,word
goes,kɔ,word
got,nyaa,word
grown,nyin,word
had,wɔɔ,word
hair,nwi,word
hand,nsa,word
happened,sii,word
happens,si,word
happy,ani gye,word
hard,den,word
harvest,twa,word
has,wɔ,word
have,wɔ,word
he,ɔno,word
hear,te,word
help,boa,word
here,ha,word
him,ɔno,word
his,ne,word
hungry,ɔkɔm de,word
hurt,pira,word
i'll,mɛ,word
i'm,me yɛ,word
idea,adwene,word
if,sɛ,word
important,ho hia,word
information,amanneɛ,word
intelligent,nyansa,word
it,ɛno,word
it's,ɛyɛ,word
job,adwuma,word
join,ka ho,word
joke,sere,word
just,ara,word
kill,kum,word
know,nim,word
lake,tare,word
languages,kasa,word
last,awie,word
late,akyiri,word
later,akyire yi,word
lend,bɔ bosea,word
let,ma,word
let's,momma yɛn,word
letter,krataa,word
life,nkwa,word
likes,pɛ,word
long,tenten,word
looks,hwɛ,word
lot,pii,word
loved,dɔɔ,word
luck,nkɔso,word
mad,bo fu,word
make,yɛ,word
man,ɔbarima,word
many,pii,word
married,waree,word
may,ebia,word
meet,hyia,word
meeting,nhyiamu,word
million,ɔpepem,word
miss,bɔ,word
missed,bɔɔ,word
moment,bere,word
money,sika,word
month,bosome,word
more,pii,word
morning,anɔpa,word
mother,maame,word
movie,sini,word
much,pii,word
murders,kum,word
must,ɛsɛ,word
nearest,benkum,word
necessarily,ɛho hia,word
necessary,ɛho hia,word
need,hia,word
never,da,word
new,foforo,word
next,nea edi hɔ,word
night,anadwo,word
no,daabi,word
nobody,obiara,word
noise,gyegyeegye,word
noisy,gyegyeegye,word
not,nni,word
nothing,hwee,word
now,seesei,word
obeyed,tiee,word
of,a,word
one,baako,word
open,bue,word
opinion,adwene,word
or,anaa,word
other,foforo,word
out,abɔnten,word
pain,yaw,word
pass,twa,word
pencil,pensere,word
playing,regoru,word
please,mesrɛ wo,word
pretty,fɛfɛ,word
problem,ɔhaw,word
problems,ahaw,word
proposals,nsusuiɛ,word
proud,ahohoahoa,word
question,asɛm,word
quickly,ntɛm,word
quit,gyae,word
rain,tɔ,word
rains,tɔ,word
reach,du,word
read,kenkan,word
reading,rekenkan,word
ready,asiesie,word
really,ampa,word
river,asu,word
room,dan,word
rules,mmara,word
run,tu mmirika,word
sad,awerɛhow,word
say,ka,word
see,hu,word
sentences,kasamu,word
serious,komm,word
she,ɔno,word
should,ɛsɛ,word
sir,owura,word
sister,nuabea,word
sit,tena,word
sleep,da,word
sleeping,reda,word
slowly,nkakrankakra,word
small,ketewa,word
smart,nyansa,word
smile,sere,word
smoke,tɔ wusiw,word
so,enti,word
solve,di ho dwuma,word
some,bi,word
something,biribi,word
son,ɔbabarima,word
soon,ntɛm,word
sorry,kosyi,word
speak,kasa,word
started,hyɛɛ ase,word
stay,tena,word
still,da so,word
stop,gyae,word
stopped,gyaee,word
story,asɛm,word
student,osuani,word
studied,suaa,word
study,sua,word
sudden,mpofirim,word
supporting,reboa,word
surprising,nwonwa,word
sweet,dɛ,word
swim,ware,word
take,fa,word
takes,fa,word
talk,kasa,word
talking,rekasa,word
tall,tenten,word
taller,tenten,word
teach,kyerɛ,word
teacher,ɔkyerɛkyerɛfo,word
teachers,akyerɛkyerɛfo,word
team,kuw,word
tell,ka,word
terrible,bɔne,word
than,sen,word
thank,da ase,word
thanks,medaase,word
that,no,word
that's,ɛno ne,word
there,ɛhɔ,word
they,wɔn,word
think,dwene,word
thinking,redwene,word
this,yi,word
time,bere,word
tired,abrɛ,word
today,ɛnnɛ,word
together,bom,word
tomorrow,ɔkyena,word
too,nso,word
trip,akwantuo,word
true,nokorɛ,word
understand,te ase,word
understanding,ntease,word
up,soro,word
valentine's,ɔdɔ da,word
very,yiye,word
wait,twɛn,word
walk,nante,word
want,pɛ,word
was,yɛɛ,word
wasn't,anyɛ,word
way,kwan,word
we,yɛn,word
weather,wiem tebea,word
week,dapɛn,word
welcome,akwaaba,word
well,yiye,word
were,yɛɛ,word
wet,fɔ,word
what's,dɛn ne,word
wheat,aburow,word
when,bere a,word
which,nea,word
who,hena,word
whose,hena de,word
why,adɛn nti,word
wide,trɛw,word
wife,yere,word
will,bɛ,word
win,di nkonim,word
with,ne,word
worries,haw,word
would,bɛ,word
writing,rekyerɛw,word
wrong,mfomso,word
year,afe,word
you're,woyɛ,word
yours,wo de,word
